"task_id","run_id","imputation","cell_id","scenario","n","validated","m","k","chunk_id","chunks_per_cell","reps","reps_per_cell","base_seed"
242,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,42,50,50,2500,8902050
243,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,43,50,50,2500,8902100
244,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,44,50,50,2500,8902150
245,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,45,50,50,2500,8902200
246,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,46,50,50,2500,8902250
247,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,47,50,50,2500,8902300
248,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,48,50,50,2500,8902350
249,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,49,50,50,2500,8902400
250,"gs_n2000_full_20260901_r2","pmm",5,"GS",2000,500,25,5,50,50,50,2500,8902450
251,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,1,50,50,2500,9e+06
252,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,2,50,50,2500,9000050
253,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,3,50,50,2500,9000100
254,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,4,50,50,2500,9000150
255,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,5,50,50,2500,9000200
256,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,6,50,50,2500,9000250
257,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,7,50,50,2500,9000300
258,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,8,50,50,2500,9000350
259,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,9,50,50,2500,9000400
260,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,10,50,50,2500,9000450
261,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,11,50,50,2500,9000500
262,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,12,50,50,2500,9000550
263,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,13,50,50,2500,9000600
264,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,14,50,50,2500,9000650
265,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,15,50,50,2500,9000700
266,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,16,50,50,2500,9000750
267,"gs_n2000_full_20260901_r2","pmm",6,"GS",2000,500,25,10,17,50,50,2500,9000800
